Code,EQ,Species,Complexes,Complex2,Chemotype,Host,Year ,State,Municipality,Lat,Lon
F1078,3113,F. poae,F. poae,F. poae,NA,Barley,2012,Parana,Guarapuava,-25.21775,-51.644722
F1084,3228,F. graminearum,FGSC,FGSC,15-ADON,Barley,2012,Parana,Guarapuava,-25.562622,-51.581294
F1085,3229,F. graminearum,FGSC,FGSC,15-ADON,Barley,2012,Parana,Guarapuava,-25.562631,-51.579542
F1101,3237,F. meridionale,FGSC,FGSC,NIV,Barley,2012,Parana,Guarapuava,-25.559856,-51.584786
F1102,3238,F. avenaceum,FTSC,FTSC,NA,Barley,2012,Parana,Guarapuava,-25.559864,-51.583033
F1103,3242,F. meridionale,FGSC,FGSC,NIV,Barley,2012,Parana,Guarapuava,-25.558489,-51.58215
F1104,3251,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2012,Parana,Guarapuava,-25.385214,-51.567069
F1111,3290,F. poae,F. poae,F. poae,NA,Barley,2012,Parana,Guarapuava,-25.433564,-51.761069
F1112,3291,F. poae,F. poae,F. poae,NA,Barley,2012,Parana,Guarapuava,-25.43385,-51.759728
F1114,2498,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2012,Parana,Pinh‹o,-25.807414,-51.822606
F1115,3295,F. poae,F. poae,F. poae,NA,Barley,2012,Parana,Guarapuava,-25.431267,-51.763958
F1117,3260,FIESC ,FIESC,FIESC,NA,Wheat,2012,Parana,Guarapuava,-25.382094,-51.569033
F1119,3255,FFSC,FFSC,FFSC,NA,Wheat,2012,Parana,Guarapuava,-25.383639,-51.572008
F1125,3267,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2012,Parana,Guarapuava,-25.553975,-51.480503
F1127,3266,F. meridionale,FGSC,FGSC,NIV,Wheat,2012,Parana,Guarapuava,-25.553975,-51.480961
F1128,3265,F. meridionale,FGSC,FGSC,NIV,Wheat,2012,Parana,Guarapuava,-25.553972,-51.481419
F1129,2520,F. poae,F. poae,F. poae,NA,Barley,2012,Parana,Guarapuava,-25.330172,-51.452964
F1130,2518,FFSC,FFSC,FFSC,NA,Barley,2012,Parana,Guarapuava,-25.322539,-51.452808
F1131,3235,F. poae,F. poae,F. poae,NA,Barley,2012,Parana,Guarapuava,-25.561194,-51.577172
F1132,3218,F. poae,F. poae,F. poae,NA,Barley,2012,Parana,Guarapuava,-25.424064,-51.660706
F1134,3290,F. poae,F. poae,F. poae,NA,Barley,2012,Parana,Guarapuava,-25.433564,-51.761069
